category,item,amount,total,project
Förderung/Sponsoring durch Unternehmen,Google,65000,2011266,Jugend Hackt & CodeforGermany
Förderung/Sponsoring durch Unternehmen,DB Global Business,3000,2011266,Jugend Hackt
Förderung durch Unternehmen + Eigenerwirtschaftete Gelder,Computerprojekt Köln,18478,2011266,Jugend Hackt
Förderung/Sponsoring durch Unternehmen,Bau- und verwaltungsgesellschaft,2000,2011266,Jugend Hackt
Förderung/Sponsoring durch Unternehmen,codecentric,2000,2011266,Jugend Hackt
Förderung/Sponsoring durch Unternehmen,Mysociety Ltd.,6706,2011266,Jugend Hackt
Förderung/Sponsoring durch Unternehmen,International Budget Partner,6523,2011266,Jugend Hackt
