category,item,amount,total,project
wirtschaftliche Einnahmen,Zukunft.Umwelt.Gesellschaft (Z.U.G.),185000,3741800,Open Hardware
wirtschaftliche Einnahmen,Einnahmen unter 20.000 Euro,27723,3741800,divers
